level,vertebral_number,body_interspace,approach,category,implant,object,side,x,y,fusion,interbody_fusion,fixation_uiv_liv,direction,object_id
C2,2,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.955,yes,no,no,superior,C2_central_anterior_buttress_plate_1
C3,3,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.918,yes,no,no,superior,C3_central_anterior_buttress_plate_1
C4,4,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.888,yes,no,no,superior,C4_central_anterior_buttress_plate_1
C5,5,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.865,yes,no,no,superior,C5_central_anterior_buttress_plate_1
C6,6,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.838,yes,no,no,superior,C6_central_anterior_buttress_plate_1
C7,7,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.815,yes,no,no,superior,C7_central_anterior_buttress_plate_1
T1,8,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.79,yes,no,no,superior,T1_central_anterior_buttress_plate_1
T2,9,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.76,yes,no,no,superior,T2_central_anterior_buttress_plate_1
T3,10,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.732,yes,no,no,superior,T3_central_anterior_buttress_plate_1
T4,11,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.705,yes,no,no,superior,T4_central_anterior_buttress_plate_1
T5,12,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.675,yes,no,no,superior,T5_central_anterior_buttress_plate_1
T6,13,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.645,yes,no,no,superior,T6_central_anterior_buttress_plate_1
T7,14,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.613,yes,no,no,superior,T7_central_anterior_buttress_plate_1
T8,15,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.584,yes,no,no,superior,T8_central_anterior_buttress_plate_1
T9,16,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.555,yes,no,no,superior,T9_central_anterior_buttress_plate_1
T10,17,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.525,yes,no,no,superior,T10_central_anterior_buttress_plate_1
T11,18,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.49,yes,no,no,superior,T11_central_anterior_buttress_plate_1
T12,19,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.45,yes,no,no,superior,T12_central_anterior_buttress_plate_1
L1,20,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.406,yes,no,no,superior,L1_central_anterior_buttress_plate_1
L2,21,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.357,yes,no,no,superior,L2_central_anterior_buttress_plate_1
L3,22,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.305,yes,no,no,superior,L3_central_anterior_buttress_plate_1
L4,23,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.255,yes,no,no,superior,L4_central_anterior_buttress_plate_1
L5,24,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.205,yes,no,no,superior,L5_central_anterior_buttress_plate_1
S1,25,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.15,yes,no,no,superior,S1_central_anterior_buttress_plate_1
C2,2,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.925,yes,no,no,inferior,C2_central_anterior_buttress_plate_2
C3,3,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.897,yes,no,no,inferior,C3_central_anterior_buttress_plate_2
C4,4,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.87,yes,no,no,inferior,C4_central_anterior_buttress_plate_2
C5,5,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.846,yes,no,no,inferior,C5_central_anterior_buttress_plate_2
C6,6,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.821,yes,no,no,inferior,C6_central_anterior_buttress_plate_2
C7,7,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.795,yes,no,no,inferior,C7_central_anterior_buttress_plate_2
T1,8,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.77,yes,no,no,inferior,T1_central_anterior_buttress_plate_2
T2,9,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.74,yes,no,no,inferior,T2_central_anterior_buttress_plate_2
T3,10,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.712,yes,no,no,inferior,T3_central_anterior_buttress_plate_2
