object_id,x,y
C1_central_corpectomy_1,0.485,0.965
C1_central_corpectomy_1,0.485,0.985
C1_central_corpectomy_1,0.485,0.986
C1_central_corpectomy_1,0.486,0.986
C1_central_corpectomy_1,0.513,0.986
C1_central_corpectomy_1,0.514,0.986
C1_central_corpectomy_1,0.515,0.986
C1_central_corpectomy_1,0.515,0.985
C1_central_corpectomy_1,0.515,0.965
C1_central_corpectomy_1,0.515,0.964
C1_central_corpectomy_1,0.514,0.964
C1_central_corpectomy_1,0.513,0.964
C1_central_corpectomy_1,0.486,0.964
C1_central_corpectomy_1,0.485,0.964
C1_central_corpectomy_1,0.485,0.965
C1_central_corpectomy_cage_1,0.492,0.958
C1_central_corpectomy_cage_1,0.486,0.958
C1_central_corpectomy_cage_1,0.485,0.958
C1_central_corpectomy_cage_1,0.485,0.959
C1_central_corpectomy_cage_1,0.485,0.96
C1_central_corpectomy_cage_1,0.485,0.961
C1_central_corpectomy_cage_1,0.493,0.986
C1_central_corpectomy_cage_1,0.493,0.987
C1_central_corpectomy_cage_1,0.494,0.987
C1_central_corpectomy_cage_1,0.495,0.987
C1_central_corpectomy_cage_1,0.496,0.987
C1_central_corpectomy_cage_1,0.496,0.986
C1_central_corpectomy_cage_1,0.497,0.986
C1_central_corpectomy_cage_1,0.497,0.985
C1_central_corpectomy_cage_1,0.497,0.965
C1_central_corpectomy_cage_1,0.497,0.964
C1_central_corpectomy_cage_1,0.496,0.964
C1_central_corpectomy_cage_1,0.508,0.958
C1_central_corpectomy_cage_1,0.504,0.964
C1_central_corpectomy_cage_1,0.503,0.964
C1_central_corpectomy_cage_1,0.503,0.965
C1_central_corpectomy_cage_1,0.503,0.985
C1_central_corpectomy_cage_1,0.503,0.986
C1_central_corpectomy_cage_1,0.504,0.986
C1_central_corpectomy_cage_1,0.504,0.987
C1_central_corpectomy_cage_1,0.505,0.987
C1_central_corpectomy_cage_1,0.506,0.987
C1_central_corpectomy_cage_1,0.507,0.987
C1_central_corpectomy_cage_1,0.507,0.986
C1_central_corpectomy_cage_1,0.515,0.961
C1_central_corpectomy_cage_1,0.515,0.96
