object_id,x,y
C1-C2_central_anterior_plate_1,0.495,0.94
C1-C2_central_anterior_plate_1,0.495,0.975
C1-C2_central_anterior_plate_1,0.495,0.976
C1-C2_central_anterior_plate_1,0.496,0.976
C1-C2_central_anterior_plate_1,0.503,0.976
C1-C2_central_anterior_plate_1,0.504,0.976
C1-C2_central_anterior_plate_1,0.505,0.976
C1-C2_central_anterior_plate_1,0.505,0.975
C1-C2_central_anterior_plate_1,0.505,0.94
C1-C2_central_anterior_plate_1,0.505,0.939
C1-C2_central_anterior_plate_1,0.504,0.939
C1-C2_central_anterior_plate_1,0.503,0.939
C1-C2_central_anterior_plate_1,0.496,0.939
C1-C2_central_anterior_plate_1,0.495,0.939
C1-C2_central_anterior_plate_1,0.495,0.94
C1-C2_central_diskectomy_only_1,0.486,0.965
C1-C2_central_diskectomy_only_1,0.486,0.966
C1-C2_central_diskectomy_only_1,0.486,0.967
C1-C2_central_diskectomy_only_1,0.487,0.967
C1-C2_central_diskectomy_only_1,0.487,0.968
C1-C2_central_diskectomy_only_1,0.488,0.968
C1-C2_central_diskectomy_only_1,0.489,0.968
C1-C2_central_diskectomy_only_1,0.511,0.968
C1-C2_central_diskectomy_only_1,0.512,0.968
C1-C2_central_diskectomy_only_1,0.513,0.968
C1-C2_central_diskectomy_only_1,0.513,0.967
C1-C2_central_diskectomy_only_1,0.514,0.967
C1-C2_central_diskectomy_only_1,0.514,0.966
C1-C2_central_diskectomy_only_1,0.514,0.965
C1-C2_central_diskectomy_only_1,0.514,0.955
C1-C2_central_diskectomy_only_1,0.514,0.954
C1-C2_central_diskectomy_only_1,0.514,0.953
C1-C2_central_diskectomy_only_1,0.513,0.953
C1-C2_central_diskectomy_only_1,0.513,0.952
C1-C2_central_diskectomy_only_1,0.512,0.952
C1-C2_central_diskectomy_only_1,0.511,0.952
C1-C2_central_diskectomy_only_1,0.489,0.952
C1-C2_central_diskectomy_only_1,0.488,0.952
C1-C2_central_diskectomy_only_1,0.487,0.952
C1-C2_central_diskectomy_only_1,0.487,0.953
C1-C2_central_diskectomy_only_1,0.486,0.953
C1-C2_central_diskectomy_only_1,0.486,0.954
C1-C2_central_diskectomy_only_1,0.486,0.955
C1-C2_central_diskectomy_only_1,0.486,0.965
C2-C3_central_anterior_interbody_implant_1,0.487,0.925
C2-C3_central_anterior_interbody_implant_1,0.487,0.926
C2-C3_central_anterior_interbody_implant_1,0.488,0.926
C2-C3_central_anterior_interbody_implant_1,0.488,0.927
C2-C3_central_anterior_interbody_implant_1,0.489,0.927
C2-C3_central_anterior_interbody_implant_1,0.489,0.928
C2-C3_central_anterior_interbody_implant_1,0.49,0.928
C2-C3_central_anterior_interbody_implant_1,0.51,0.928
C2-C3_central_anterior_interbody_implant_1,0.511,0.928
C2-C3_central_anterior_interbody_implant_1,0.511,0.927
C2-C3_central_anterior_interbody_implant_1,0.512,0.927
C2-C3_central_anterior_interbody_implant_1,0.512,0.926
C2-C3_central_anterior_interbody_implant_1,0.513,0.926
C2-C3_central_anterior_interbody_implant_1,0.513,0.925
C2-C3_central_anterior_interbody_implant_1,0.513,0.918
C2-C3_central_anterior_interbody_implant_1,0.513,0.917
C2-C3_central_anterior_interbody_implant_1,0.512,0.917
C2-C3_central_anterior_interbody_implant_1,0.512,0.916
C2-C3_central_anterior_interbody_implant_1,0.511,0.916
C2-C3_central_anterior_interbody_implant_1,0.511,0.915
C2-C3_central_anterior_interbody_implant_1,0.51,0.915
C2-C3_central_anterior_interbody_implant_1,0.49,0.915
C2-C3_central_anterior_interbody_implant_1,0.489,0.915
C2-C3_central_anterior_interbody_implant_1,0.489,0.916
C2-C3_central_anterior_interbody_implant_1,0.488,0.916
C2-C3_central_anterior_interbody_implant_1,0.488,0.917
C2-C3_central_anterior_interbody_implant_1,0.487,0.917
C2-C3_central_anterior_interbody_implant_1,0.487,0.918
C2-C3_central_anterior_interbody_implant_1,0.487,0.925
C2-C3_central_anterior_plate_1,0.494,0.907
C2-C3_central_anterior_plate_1,0.494,0.94
C2-C3_central_anterior_plate_1,0.494,0.941
C2-C3_central_anterior_plate_1,0.495,0.941
C2-C3_central_anterior_plate_1,0.496,0.941
C2-C3_central_anterior_plate_1,0.504,0.941
C2-C3_central_anterior_plate_1,0.505,0.941
C2-C3_central_anterior_plate_1,0.506,0.941
C2-C3_central_anterior_plate_1,0.506,0.94
C2-C3_central_anterior_plate_1,0.506,0.907
C2-C3_central_anterior_plate_1,0.505,0.907
C2-C3_central_anterior_plate_1,0.505,0.906
C2-C3_central_anterior_plate_1,0.504,0.906
C2-C3_central_anterior_plate_1,0.496,0.906
C2-C3_central_anterior_plate_1,0.495,0.906
C2-C3_central_anterior_plate_1,0.495,0.907
C2-C3_central_anterior_plate_1,0.494,0.907
C2-C3_central_diskectomy_only_1,0.484,0.925
C2-C3_central_diskectomy_only_1,0.484,0.926
C2-C3_central_diskectomy_only_1,0.484,0.927
C2-C3_central_diskectomy_only_1,0.485,0.927
C2-C3_central_diskectomy_only_1,0.485,0.928
C2-C3_central_diskectomy_only_1,0.486,0.928
C2-C3_central_diskectomy_only_1,0.487,0.928
C2-C3_central_diskectomy_only_1,0.513,0.928
C2-C3_central_diskectomy_only_1,0.514,0.928
C2-C3_central_diskectomy_only_1,0.515,0.928
C2-C3_central_diskectomy_only_1,0.515,0.927
C2-C3_central_diskectomy_only_1,0.516,0.927
C2-C3_central_diskectomy_only_1,0.516,0.926
C2-C3_central_diskectomy_only_1,0.516,0.925
C2-C3_central_diskectomy_only_1,0.516,0.918
C2-C3_central_diskectomy_only_1,0.516,0.917
C2-C3_central_diskectomy_only_1,0.516,0.916
C2-C3_central_diskectomy_only_1,0.515,0.916
C2-C3_central_diskectomy_only_1,0.515,0.915
C2-C3_central_diskectomy_only_1,0.514,0.915
C2-C3_central_diskectomy_only_1,0.513,0.915
C2-C3_central_diskectomy_only_1,0.487,0.915
C2-C3_central_diskectomy_only_1,0.486,0.915
C2-C3_central_diskectomy_only_1,0.485,0.915
C2-C3_central_diskectomy_only_1,0.485,0.916
C2-C3_central_diskectomy_only_1,0.484,0.916
C2-C3_central_diskectomy_only_1,0.484,0.917
C2-C3_central_diskectomy_only_1,0.484,0.918
C2-C3_central_diskectomy_only_1,0.484,0.925
C2_central_anterior_buttress_plate_1,0.494,0.94
C2_central_anterior_buttress_plate_1,0.494,0.965
C2_central_anterior_buttress_plate_1,0.494,0.966
C2_central_anterior_buttress_plate_1,0.495,0.966
C2_central_anterior_buttress_plate_1,0.496,0.966
C2_central_anterior_buttress_plate_1,0.504,0.966
C2_central_anterior_buttress_plate_1,0.505,0.966
C2_central_anterior_buttress_plate_1,0.506,0.966
C2_central_anterior_buttress_plate_1,0.506,0.965
C2_central_anterior_buttress_plate_1,0.506,0.94
C2_central_anterior_buttress_plate_1,0.506,0.939
C2_central_anterior_buttress_plate_1,0.505,0.939
C2_central_anterior_buttress_plate_1,0.504,0.939
C2_central_anterior_buttress_plate_1,0.496,0.939
C2_central_anterior_buttress_plate_1,0.495,0.939
C2_central_anterior_buttress_plate_1,0.494,0.939
C2_central_anterior_buttress_plate_1,0.494,0.94
C2_central_anterior_buttress_plate_2,0.494,0.915
C2_central_anterior_buttress_plate_2,0.494,0.94
C2_central_anterior_buttress_plate_2,0.494,0.941
C2_central_anterior_buttress_plate_2,0.495,0.941
C2_central_anterior_buttress_plate_2,0.496,0.941
C2_central_anterior_buttress_plate_2,0.504,0.941
C2_central_anterior_buttress_plate_2,0.505,0.941
C2_central_anterior_buttress_plate_2,0.506,0.941
C2_central_anterior_buttress_plate_2,0.506,0.94
C2_central_anterior_buttress_plate_2,0.506,0.915
C2_central_anterior_buttress_plate_2,0.506,0.914
C2_central_anterior_buttress_plate_2,0.505,0.914
C2_central_anterior_buttress_plate_2,0.504,0.914
C2_central_anterior_buttress_plate_2,0.496,0.914
C2_central_anterior_buttress_plate_2,0.495,0.914
C2_central_anterior_buttress_plate_2,0.494,0.914
C2_central_anterior_buttress_plate_2,0.494,0.915
C2_central_screw_washer_1,0.51,0.955
C2_central_screw_washer_1,0.51,0.954
C2_central_screw_washer_1,0.51,0.953
C2_central_screw_washer_1,0.51,0.952
C2_central_screw_washer_1,0.509,0.951
C2_central_screw_washer_1,0.509,0.95
C2_central_screw_washer_1,0.508,0.95
C2_central_screw_washer_1,0.508,0.949
C2_central_screw_washer_1,0.507,0.948
C2_central_screw_washer_1,0.506,0.947
C2_central_screw_washer_1,0.505,0.947
C2_central_screw_washer_1,0.505,0.946
C2_central_screw_washer_1,0.504,0.946
C2_central_screw_washer_1,0.503,0.945
C2_central_screw_washer_1,0.502,0.945
C2_central_screw_washer_1,0.501,0.945
C2_central_screw_washer_1,0.5,0.945
C2_central_screw_washer_1,0.499,0.945
C2_central_screw_washer_1,0.498,0.945
C2_central_screw_washer_1,0.497,0.945
C2_central_screw_washer_1,0.496,0.946
C2_central_screw_washer_1,0.495,0.946
C2_central_screw_washer_1,0.495,0.947
C2_central_screw_washer_1,0.494,0.947
C2_central_screw_washer_1,0.493,0.948
C2_central_screw_washer_1,0.492,0.949
C2_central_screw_washer_1,0.492,0.95
C2_central_screw_washer_1,0.491,0.95
C2_central_screw_washer_1,0.491,0.951
C2_central_screw_washer_1,0.49,0.952
C2_central_screw_washer_1,0.49,0.953
C2_central_screw_washer_1,0.49,0.954
C2_central_screw_washer_1,0.49,0.955
C2_central_screw_washer_1,0.49,0.956
C2_central_screw_washer_1,0.49,0.957
C2_central_screw_washer_1,0.49,0.958
C2_central_screw_washer_1,0.491,0.959
C2_central_screw_washer_1,0.491,0.96
C2_central_screw_washer_1,0.492,0.96
C2_central_screw_washer_1,0.492,0.961
C2_central_screw_washer_1,0.493,0.962
C2_central_screw_washer_1,0.494,0.963
C2_central_screw_washer_1,0.495,0.963
C2_central_screw_washer_1,0.495,0.964
C2_central_screw_washer_1,0.496,0.964
C2_central_screw_washer_1,0.497,0.965
C2_central_screw_washer_1,0.498,0.965
C2_central_screw_washer_1,0.499,0.965
C2_central_screw_washer_1,0.5,0.965
C2_central_screw_washer_1,0.501,0.965
C2_central_screw_washer_1,0.502,0.965
C2_central_screw_washer_1,0.503,0.965
C2_central_screw_washer_1,0.504,0.964
C2_central_screw_washer_1,0.505,0.964
C2_central_screw_washer_1,0.505,0.963
C2_central_screw_washer_1,0.506,0.963
C2_central_screw_washer_1,0.507,0.962
C2_central_screw_washer_1,0.508,0.961
C2_central_screw_washer_1,0.508,0.96
C2_central_screw_washer_1,0.509,0.96
C2_central_screw_washer_1,0.509,0.959
C2_central_screw_washer_1,0.51,0.958
C2_central_screw_washer_1,0.51,0.957
C2_central_screw_washer_1,0.51,0.956
C2_central_screw_washer_1,0.51,0.955
C2_central_screw_washer_2,0.51,0.925
C2_central_screw_washer_2,0.51,0.924
C2_central_screw_washer_2,0.51,0.923
C2_central_screw_washer_2,0.51,0.922
C2_central_screw_washer_2,0.509,0.921
C2_central_screw_washer_2,0.509,0.92
C2_central_screw_washer_2,0.508,0.92
C2_central_screw_washer_2,0.508,0.919
C2_central_screw_washer_2,0.507,0.918
C2_central_screw_washer_2,0.506,0.917
C2_central_screw_washer_2,0.505,0.917
C2_central_screw_washer_2,0.505,0.916
C2_central_screw_washer_2,0.504,0.916
C2_central_screw_washer_2,0.503,0.915
C2_central_screw_washer_2,0.502,0.915
C2_central_screw_washer_2,0.501,0.915
C2_central_screw_washer_2,0.5,0.915
C2_central_screw_washer_2,0.499,0.915
C2_central_screw_washer_2,0.498,0.915
C2_central_screw_washer_2,0.497,0.915
C2_central_screw_washer_2,0.496,0.916
C2_central_screw_washer_2,0.495,0.916
C2_central_screw_washer_2,0.495,0.917
C2_central_screw_washer_2,0.494,0.917
C2_central_screw_washer_2,0.493,0.918
C2_central_screw_washer_2,0.492,0.919
C2_central_screw_washer_2,0.492,0.92
C2_central_screw_washer_2,0.491,0.92
C2_central_screw_washer_2,0.491,0.921
C2_central_screw_washer_2,0.49,0.922
C2_central_screw_washer_2,0.49,0.923
C2_central_screw_washer_2,0.49,0.924
C2_central_screw_washer_2,0.49,0.925
C2_central_screw_washer_2,0.49,0.926
C2_central_screw_washer_2,0.49,0.927
C2_central_screw_washer_2,0.49,0.928
C2_central_screw_washer_2,0.491,0.929
C2_central_screw_washer_2,0.491,0.93
C2_central_screw_washer_2,0.492,0.93
C2_central_screw_washer_2,0.492,0.931
C2_central_screw_washer_2,0.493,0.932
C2_central_screw_washer_2,0.494,0.933
C2_central_screw_washer_2,0.495,0.933
C2_central_screw_washer_2,0.495,0.934
C2_central_screw_washer_2,0.496,0.934
C2_central_screw_washer_2,0.497,0.935
C2_central_screw_washer_2,0.498,0.935
C2_central_screw_washer_2,0.499,0.935
C2_central_screw_washer_2,0.5,0.935
C2_central_screw_washer_2,0.501,0.935
C2_central_screw_washer_2,0.502,0.935
C2_central_screw_washer_2,0.503,0.935
C2_central_screw_washer_2,0.504,0.934
C2_central_screw_washer_2,0.505,0.934
C2_central_screw_washer_2,0.505,0.933
C2_central_screw_washer_2,0.506,0.933
C2_central_screw_washer_2,0.507,0.932
C2_central_screw_washer_2,0.508,0.931
C2_central_screw_washer_2,0.508,0.93
C2_central_screw_washer_2,0.509,0.93
C2_central_screw_washer_2,0.509,0.929
C2_central_screw_washer_2,0.51,0.928
C2_central_screw_washer_2,0.51,0.927
C2_central_screw_washer_2,0.51,0.926
C2_central_screw_washer_2,0.51,0.925
C3-C4_central_anterior_interbody_implant_1,0.487,0.897
C3-C4_central_anterior_interbody_implant_1,0.487,0.898
C3-C4_central_anterior_interbody_implant_1,0.487,0.899
C3-C4_central_anterior_interbody_implant_1,0.488,0.899
C3-C4_central_anterior_interbody_implant_1,0.488,0.9
C3-C4_central_anterior_interbody_implant_1,0.489,0.9
C3-C4_central_anterior_interbody_implant_1,0.49,0.9
C3-C4_central_anterior_interbody_implant_1,0.51,0.9
C3-C4_central_anterior_interbody_implant_1,0.511,0.9
C3-C4_central_anterior_interbody_implant_1,0.512,0.9
C3-C4_central_anterior_interbody_implant_1,0.512,0.899
C3-C4_central_anterior_interbody_implant_1,0.513,0.899
C3-C4_central_anterior_interbody_implant_1,0.513,0.898
C3-C4_central_anterior_interbody_implant_1,0.513,0.897
C3-C4_central_anterior_interbody_implant_1,0.513,0.888
C3-C4_central_anterior_interbody_implant_1,0.513,0.887
C3-C4_central_anterior_interbody_implant_1,0.513,0.886
C3-C4_central_anterior_interbody_implant_1,0.512,0.886
C3-C4_central_anterior_interbody_implant_1,0.512,0.885
C3-C4_central_anterior_interbody_implant_1,0.511,0.885
C3-C4_central_anterior_interbody_implant_1,0.51,0.885
C3-C4_central_anterior_interbody_implant_1,0.49,0.885
C3-C4_central_anterior_interbody_implant_1,0.489,0.885
C3-C4_central_anterior_interbody_implant_1,0.488,0.885
C3-C4_central_anterior_interbody_implant_1,0.488,0.886
C3-C4_central_anterior_interbody_implant_1,0.487,0.886
C3-C4_central_anterior_interbody_implant_1,0.487,0.887
C3-C4_central_anterior_interbody_implant_1,0.487,0.888
C3-C4_central_anterior_interbody_implant_1,0.487,0.897
C3-C4_central_anterior_plate_1,0.494,0.879
C3-C4_central_anterior_plate_1,0.494,0.907
C3-C4_central_anterior_plate_1,0.494,0.908
C3-C4_central_anterior_plate_1,0.494,0.909
C3-C4_central_anterior_plate_1,0.495,0.909
C3-C4_central_anterior_plate_1,0.505,0.909
C3-C4_central_anterior_plate_1,0.506,0.909
C3-C4_central_anterior_plate_1,0.506,0.908
C3-C4_central_anterior_plate_1,0.506,0.907
C3-C4_central_anterior_plate_1,0.506,0.879
C3-C4_central_anterior_plate_1,0.506,0.878
C3-C4_central_anterior_plate_1,0.505,0.878
C3-C4_central_anterior_plate_1,0.495,0.878
C3-C4_central_anterior_plate_1,0.494,0.878
C3-C4_central_anterior_plate_1,0.494,0.879
