object_id,x,y
C1-C2_central_decompression_diskectomy_fusion_1,0.487,0.965
C1-C2_central_decompression_diskectomy_fusion_1,0.487,0.966
C1-C2_central_decompression_diskectomy_fusion_1,0.488,0.966
C1-C2_central_decompression_diskectomy_fusion_1,0.488,0.967
C1-C2_central_decompression_diskectomy_fusion_1,0.489,0.967
C1-C2_central_decompression_diskectomy_fusion_1,0.511,0.967
C1-C2_central_decompression_diskectomy_fusion_1,0.512,0.967
C1-C2_central_decompression_diskectomy_fusion_1,0.512,0.966
C1-C2_central_decompression_diskectomy_fusion_1,0.513,0.966
C1-C2_central_decompression_diskectomy_fusion_1,0.513,0.965
C1-C2_central_decompression_diskectomy_fusion_1,0.513,0.955
C1-C2_central_decompression_diskectomy_fusion_1,0.513,0.954
C1-C2_central_decompression_diskectomy_fusion_1,0.512,0.954
C1-C2_central_decompression_diskectomy_fusion_1,0.512,0.953
C1-C2_central_decompression_diskectomy_fusion_1,0.511,0.953
C1-C2_central_decompression_diskectomy_fusion_1,0.489,0.953
C1-C2_central_decompression_diskectomy_fusion_1,0.488,0.953
C1-C2_central_decompression_diskectomy_fusion_1,0.488,0.954
C1-C2_central_decompression_diskectomy_fusion_1,0.487,0.954
C1-C2_central_decompression_diskectomy_fusion_1,0.487,0.955
C1-C2_central_decompression_diskectomy_fusion_1,0.487,0.965
C1-C2_central_diskectomy_fusion_1,0.487,0.965
C1-C2_central_diskectomy_fusion_1,0.487,0.966
C1-C2_central_diskectomy_fusion_1,0.488,0.966
C1-C2_central_diskectomy_fusion_1,0.488,0.967
C1-C2_central_diskectomy_fusion_1,0.489,0.967
C1-C2_central_diskectomy_fusion_1,0.511,0.967
C1-C2_central_diskectomy_fusion_1,0.512,0.967
C1-C2_central_diskectomy_fusion_1,0.512,0.966
C1-C2_central_diskectomy_fusion_1,0.513,0.966
C1-C2_central_diskectomy_fusion_1,0.513,0.965
C1-C2_central_diskectomy_fusion_1,0.513,0.955
