object_id,x,y
C1-C2_central_sublaminar_decompression_1,0.492,0.873
C1-C2_central_sublaminar_decompression_1,0.493,0.883
C1-C2_central_sublaminar_decompression_1,0.493,0.884
C1-C2_central_sublaminar_decompression_1,0.494,0.884
C1-C2_central_sublaminar_decompression_1,0.494,0.885
C1-C2_central_sublaminar_decompression_1,0.495,0.885
C1-C2_central_sublaminar_decompression_1,0.496,0.885
C1-C2_central_sublaminar_decompression_1,0.504,0.885
C1-C2_central_sublaminar_decompression_1,0.505,0.885
C1-C2_central_sublaminar_decompression_1,0.506,0.885
C1-C2_central_sublaminar_decompression_1,0.506,0.884
C1-C2_central_sublaminar_decompression_1,0.507,0.884
C1-C2_central_sublaminar_decompression_1,0.507,0.883
C1-C2_central_sublaminar_decompression_1,0.508,0.873
C1-C2_central_sublaminar_decompression_1,0.508,0.872
C1-C2_central_sublaminar_decompression_1,0.508,0.871
C1-C2_central_sublaminar_decompression_1,0.507,0.871
C1-C2_central_sublaminar_decompression_1,0.506,0.871
C1-C2_central_sublaminar_decompression_1,0.494,0.871
C1-C2_central_sublaminar_decompression_1,0.493,0.871
C1-C2_central_sublaminar_decompression_1,0.492,0.871
C1-C2_central_sublaminar_decompression_1,0.492,0.872
C1-C2_central_sublaminar_decompression_1,0.492,0.873
C1_central_laminectomy_1,0.492,0.873
C1_central_laminectomy_1,0.492,0.889
C1_central_laminectomy_1,0.492,0.89
C1_central_laminectomy_1,0.492,0.891
C1_central_laminectomy_1,0.493,0.891
C1_central_laminectomy_1,0.494,0.891
C1_central_laminectomy_1,0.506,0.891
C1_central_laminectomy_1,0.507,0.891
C1_central_laminectomy_1,0.508,0.891
C1_central_laminectomy_1,0.508,0.89
C1_central_laminectomy_1,0.508,0.889
C1_central_laminectomy_1,0.508,0.873
C1_central_laminectomy_1,0.508,0.872
C1_central_laminectomy_1,0.508,0.871
C1_central_laminectomy_1,0.507,0.871
C1_central_laminectomy_1,0.506,0.871
C1_central_laminectomy_1,0.494,0.871
C1_central_laminectomy_1,0.493,0.871
C1_central_laminectomy_1,0.492,0.871
C1_central_laminectomy_1,0.492,0.872
C1_central_laminectomy_1,0.492,0.873
C1_left_laminectomy_for_facet_cyst_1,0.488,0.874
C1_left_laminectomy_for_facet_cyst_1,0.492,0.89
C1_left_laminectomy_for_facet_cyst_1,0.492,0.891
C1_left_laminectomy_for_facet_cyst_1,0.493,0.891
C1_left_laminectomy_for_facet_cyst_1,0.494,0.891
C1_left_laminectomy_for_facet_cyst_1,0.506,0.891
C1_left_laminectomy_for_facet_cyst_1,0.507,0.891
C1_left_laminectomy_for_facet_cyst_1,0.508,0.891
C1_left_laminectomy_for_facet_cyst_1,0.508,0.89
C1_left_laminectomy_for_facet_cyst_1,0.508,0.889
C1_left_laminectomy_for_facet_cyst_1,0.508,0.873
C1_left_laminectomy_for_facet_cyst_1,0.508,0.872
C1_left_laminectomy_for_facet_cyst_1,0.508,0.871
C1_left_laminectomy_for_facet_cyst_1,0.507,0.871
C1_left_laminectomy_for_facet_cyst_1,0.506,0.871
C1_left_laminectomy_for_facet_cyst_1,0.49,0.871
C1_left_laminectomy_for_facet_cyst_1,0.489,0.871
C1_left_laminectomy_for_facet_cyst_1,0.488,0.871
C1_left_laminectomy_for_facet_cyst_1,0.488,0.872
C1_left_laminectomy_for_facet_cyst_1,0.488,0.873
C1_left_laminectomy_for_facet_cyst_1,0.488,0.874
C1_right_laminectomy_for_facet_cyst_1,0.492,0.873
C1_right_laminectomy_for_facet_cyst_1,0.492,0.889
C1_right_laminectomy_for_facet_cyst_1,0.492,0.89
C1_right_laminectomy_for_facet_cyst_1,0.492,0.891
C1_right_laminectomy_for_facet_cyst_1,0.493,0.891
C1_right_laminectomy_for_facet_cyst_1,0.494,0.891
C1_right_laminectomy_for_facet_cyst_1,0.506,0.891
C1_right_laminectomy_for_facet_cyst_1,0.507,0.891
C1_right_laminectomy_for_facet_cyst_1,0.508,0.891
C1_right_laminectomy_for_facet_cyst_1,0.508,0.89
C1_right_laminectomy_for_facet_cyst_1,0.512,0.874
C1_right_laminectomy_for_facet_cyst_1,0.512,0.873
C1_right_laminectomy_for_facet_cyst_1,0.512,0.872
C1_right_laminectomy_for_facet_cyst_1,0.512,0.871
C1_right_laminectomy_for_facet_cyst_1,0.511,0.871
C1_right_laminectomy_for_facet_cyst_1,0.51,0.871
C1_right_laminectomy_for_facet_cyst_1,0.494,0.871
C1_right_laminectomy_for_facet_cyst_1,0.493,0.871
C1_right_laminectomy_for_facet_cyst_1,0.492,0.871
C1_right_laminectomy_for_facet_cyst_1,0.492,0.872
C1_right_laminectomy_for_facet_cyst_1,0.492,0.873
C2-C3_central_sublaminar_decompression_1,0.492,0.853
C2-C3_central_sublaminar_decompression_1,0.493,0.865
C2-C3_central_sublaminar_decompression_1,0.493,0.866
C2-C3_central_sublaminar_decompression_1,0.494,0.866
C2-C3_central_sublaminar_decompression_1,0.494,0.867
C2-C3_central_sublaminar_decompression_1,0.495,0.867
C2-C3_central_sublaminar_decompression_1,0.496,0.867
C2-C3_central_sublaminar_decompression_1,0.504,0.867
C2-C3_central_sublaminar_decompression_1,0.505,0.867
C2-C3_central_sublaminar_decompression_1,0.506,0.867
C2-C3_central_sublaminar_decompression_1,0.506,0.866
C2-C3_central_sublaminar_decompression_1,0.507,0.866
C2-C3_central_sublaminar_decompression_1,0.507,0.865
C2-C3_central_sublaminar_decompression_1,0.508,0.853
C2-C3_central_sublaminar_decompression_1,0.508,0.852
C2-C3_central_sublaminar_decompression_1,0.508,0.851
C2-C3_central_sublaminar_decompression_1,0.507,0.851
C2-C3_central_sublaminar_decompression_1,0.506,0.851
C2-C3_central_sublaminar_decompression_1,0.494,0.851
C2-C3_central_sublaminar_decompression_1,0.493,0.851
C2-C3_central_sublaminar_decompression_1,0.492,0.851
C2-C3_central_sublaminar_decompression_1,0.492,0.852
C2-C3_central_sublaminar_decompression_1,0.492,0.853
C2-C3_left_cervical_foraminotomy_1,0.482,0.853
C2-C3_left_cervical_foraminotomy_1,0.482,0.863
C2-C3_left_cervical_foraminotomy_1,0.482,0.864
C2-C3_left_cervical_foraminotomy_1,0.482,0.865
C2-C3_left_cervical_foraminotomy_1,0.483,0.865
C2-C3_left_cervical_foraminotomy_1,0.484,0.865
C2-C3_left_cervical_foraminotomy_1,0.492,0.865
C2-C3_left_cervical_foraminotomy_1,0.493,0.865
C2-C3_left_cervical_foraminotomy_1,0.494,0.865
C2-C3_left_cervical_foraminotomy_1,0.494,0.864
C2-C3_left_cervical_foraminotomy_1,0.494,0.863
C2-C3_left_cervical_foraminotomy_1,0.494,0.853
C2-C3_left_cervical_foraminotomy_1,0.494,0.852
C2-C3_left_cervical_foraminotomy_1,0.494,0.851
C2-C3_left_cervical_foraminotomy_1,0.493,0.851
C2-C3_left_cervical_foraminotomy_1,0.492,0.851
C2-C3_left_cervical_foraminotomy_1,0.484,0.851
C2-C3_left_cervical_foraminotomy_1,0.483,0.851
C2-C3_left_cervical_foraminotomy_1,0.482,0.851
C2-C3_left_cervical_foraminotomy_1,0.482,0.852
C2-C3_left_cervical_foraminotomy_1,0.482,0.853
C2-C3_left_complete_facetectomy_1,0.473,0.865
C2-C3_left_complete_facetectomy_1,0.492,0.865
C2-C3_left_complete_facetectomy_1,0.493,0.865
C2-C3_left_complete_facetectomy_1,0.494,0.865
C2-C3_left_complete_facetectomy_1,0.494,0.864
C2-C3_left_complete_facetectomy_1,0.494,0.863
C2-C3_left_complete_facetectomy_1,0.494,0.853
C2-C3_left_complete_facetectomy_1,0.494,0.852
C2-C3_left_complete_facetectomy_1,0.494,0.851
C2-C3_left_complete_facetectomy_1,0.493,0.851
C2-C3_left_complete_facetectomy_1,0.492,0.851
C2-C3_left_complete_facetectomy_1,0.473,0.851
C2-C3_left_complete_facetectomy_1,0.472,0.851
C2-C3_left_complete_facetectomy_1,0.471,0.851
C2-C3_left_complete_facetectomy_1,0.471,0.852
C2-C3_left_complete_facetectomy_1,0.471,0.853
C2-C3_left_complete_facetectomy_1,0.47,0.853
C2-C3_left_complete_facetectomy_1,0.47,0.863
C2-C3_left_complete_facetectomy_1,0.471,0.863
C2-C3_left_complete_facetectomy_1,0.471,0.864
C2-C3_left_complete_facetectomy_1,0.471,0.865
C2-C3_left_complete_facetectomy_1,0.472,0.865
C2-C3_left_complete_facetectomy_1,0.473,0.865
C2-C3_left_diskectomy_1,0.486,0.853
C2-C3_left_diskectomy_1,0.486,0.861
C2-C3_left_diskectomy_1,0.486,0.862
