object_id,x,y
C1-C2_central_tether_1,0.495,0.886
C1-C2_central_tether_1,0.505,0.886
C1-C2_central_tether_1,0.506,0.886
C1-C2_central_tether_1,0.506,0.885
C1-C2_central_tether_1,0.506,0.884
C1-C2_central_tether_1,0.501,0.876
C1-C2_central_tether_1,0.506,0.869
C1-C2_central_tether_1,0.506,0.868
C1-C2_central_tether_1,0.506,0.867
C1-C2_central_tether_1,0.505,0.867
C1-C2_central_tether_1,0.495,0.867
C1-C2_central_tether_1,0.494,0.867
C1-C2_central_tether_1,0.494,0.868
C1-C2_central_tether_1,0.494,0.869
C1-C2_central_tether_1,0.499,0.876
C1-C2_central_tether_1,0.494,0.884
C1-C2_central_tether_1,0.494,0.885
C1-C2_central_tether_1,0.494,0.886
C1-C2_central_tether_1,0.5,0.875
C1-C2_central_tether_1,0.497,0.869
C1-C2_central_tether_1,0.503,0.869
C1-C2_central_tether_1,0.5,0.878
C1-C2_central_tether_1,0.503,0.884
C1-C2_central_tether_1,0.497,0.884
C1-C2_central_tether_1,0.495,0.886
C1_central_crosslink_1,0.5,0.89
C1_central_crosslink_1,0.531,0.886
C1_central_crosslink_1,0.532,0.886
C1_central_crosslink_1,0.533,0.886
C1_central_crosslink_1,0.533,0.885
C1_central_crosslink_1,0.534,0.885
C1_central_crosslink_1,0.534,0.884
C1_central_crosslink_1,0.534,0.883
C1_central_crosslink_1,0.534,0.882
C1_central_crosslink_1,0.534,0.881
C1_central_crosslink_1,0.533,0.881
C1_central_crosslink_1,0.533,0.88
C1_central_crosslink_1,0.532,0.88
C1_central_crosslink_1,0.531,0.88
C1_central_crosslink_1,0.53,0.88
C1_central_crosslink_1,0.5,0.883
C1_central_crosslink_1,0.47,0.88
C1_central_crosslink_1,0.469,0.88
C1_central_crosslink_1,0.468,0.88
C1_central_crosslink_1,0.467,0.88
C1_central_crosslink_1,0.467,0.881
C1_central_crosslink_1,0.466,0.881
C1_central_crosslink_1,0.466,0.882
C1_central_crosslink_1,0.466,0.883
C1_central_crosslink_1,0.466,0.884
C1_central_crosslink_1,0.466,0.885
C1_central_crosslink_1,0.467,0.885
C1_central_crosslink_1,0.467,0.886
C1_central_crosslink_1,0.468,0.886
C1_central_crosslink_1,0.469,0.886
C1_central_crosslink_1,0.5,0.89
C1_central_structural_allograft_1,0.493,0.868
C1_central_structural_allograft_1,0.493,0.896
C1_central_structural_allograft_1,0.493,0.897
C1_central_structural_allograft_1,0.493,0.898
C1_central_structural_allograft_1,0.494,0.899
C1_central_structural_allograft_1,0.495,0.899
C1_central_structural_allograft_1,0.496,0.899
C1_central_structural_allograft_1,0.504,0.899
C1_central_structural_allograft_1,0.505,0.899
C1_central_structural_allograft_1,0.506,0.899
C1_central_structural_allograft_1,0.507,0.898
C1_central_structural_allograft_1,0.507,0.897
C1_central_structural_allograft_1,0.507,0.896
C1_central_structural_allograft_1,0.507,0.868
C1_central_structural_allograft_1,0.507,0.867
C1_central_structural_allograft_1,0.507,0.866
C1_central_structural_allograft_1,0.506,0.866
C1_central_structural_allograft_1,0.506,0.865
C1_central_structural_allograft_1,0.505,0.865
C1_central_structural_allograft_1,0.504,0.865
C1_central_structural_allograft_1,0.496,0.865
C1_central_structural_allograft_1,0.495,0.865
C1_central_structural_allograft_1,0.494,0.865
C1_central_structural_allograft_1,0.494,0.866
C1_central_structural_allograft_1,0.493,0.866
C1_central_structural_allograft_1,0.493,0.867
C1_central_structural_allograft_1,0.493,0.868
C1_left_laminar_downgoing_hook_1,0.484,0.888
C1_left_laminar_downgoing_hook_1,0.482,0.888
C1_left_laminar_downgoing_hook_1,0.482,0.881
C1_left_laminar_downgoing_hook_1,0.482,0.88
C1_left_laminar_downgoing_hook_1,0.481,0.88
C1_left_laminar_downgoing_hook_1,0.481,0.879
C1_left_laminar_downgoing_hook_1,0.48,0.879
C1_left_laminar_downgoing_hook_1,0.479,0.879
C1_left_laminar_downgoing_hook_1,0.479,0.88
C1_left_laminar_downgoing_hook_1,0.478,0.88
C1_left_laminar_downgoing_hook_1,0.478,0.881
C1_left_laminar_downgoing_hook_1,0.478,0.89
C1_left_laminar_downgoing_hook_1,0.478,0.891
C1_left_laminar_downgoing_hook_1,0.479,0.891
C1_left_laminar_downgoing_hook_1,0.479,0.892
C1_left_laminar_downgoing_hook_1,0.48,0.892
C1_left_laminar_downgoing_hook_1,0.486,0.892
C1_left_laminar_downgoing_hook_1,0.487,0.892
C1_left_laminar_downgoing_hook_1,0.487,0.891
C1_left_laminar_downgoing_hook_1,0.488,0.891
C1_left_laminar_downgoing_hook_1,0.488,0.89
C1_left_laminar_downgoing_hook_1,0.488,0.885
C1_left_laminar_downgoing_hook_1,0.488,0.884
C1_left_laminar_downgoing_hook_1,0.487,0.884
C1_left_laminar_downgoing_hook_1,0.487,0.883
C1_left_laminar_downgoing_hook_1,0.486,0.883
C1_left_laminar_downgoing_hook_1,0.485,0.883
C1_left_laminar_downgoing_hook_1,0.485,0.884
C1_left_laminar_downgoing_hook_1,0.484,0.884
C1_left_laminar_downgoing_hook_1,0.484,0.885
C1_left_laminar_downgoing_hook_1,0.484,0.888
C1_left_laminar_upgoing_hook_1,0.482,0.879
C1_left_laminar_upgoing_hook_1,0.484,0.879
C1_left_laminar_upgoing_hook_1,0.484,0.882
C1_left_laminar_upgoing_hook_1,0.484,0.883
C1_left_laminar_upgoing_hook_1,0.485,0.883
C1_left_laminar_upgoing_hook_1,0.485,0.884
C1_left_laminar_upgoing_hook_1,0.486,0.884
C1_left_laminar_upgoing_hook_1,0.487,0.884
C1_left_laminar_upgoing_hook_1,0.487,0.883
C1_left_laminar_upgoing_hook_1,0.488,0.883
C1_left_laminar_upgoing_hook_1,0.488,0.882
C1_left_laminar_upgoing_hook_1,0.488,0.877
C1_left_laminar_upgoing_hook_1,0.488,0.876
C1_left_laminar_upgoing_hook_1,0.487,0.876
C1_left_laminar_upgoing_hook_1,0.487,0.875
C1_left_laminar_upgoing_hook_1,0.486,0.875
C1_left_laminar_upgoing_hook_1,0.48,0.875
C1_left_laminar_upgoing_hook_1,0.479,0.875
C1_left_laminar_upgoing_hook_1,0.479,0.876
C1_left_laminar_upgoing_hook_1,0.478,0.876
C1_left_laminar_upgoing_hook_1,0.478,0.877
C1_left_laminar_upgoing_hook_1,0.478,0.886
C1_left_laminar_upgoing_hook_1,0.478,0.887
C1_left_laminar_upgoing_hook_1,0.479,0.887
C1_left_laminar_upgoing_hook_1,0.479,0.888
C1_left_laminar_upgoing_hook_1,0.48,0.888
C1_left_laminar_upgoing_hook_1,0.481,0.888
C1_left_laminar_upgoing_hook_1,0.481,0.887
C1_left_laminar_upgoing_hook_1,0.482,0.887
C1_left_laminar_upgoing_hook_1,0.482,0.886
C1_left_laminar_upgoing_hook_1,0.482,0.879
C1_left_lateral_mass_screw_1,0.471,0.882
C1_left_lateral_mass_screw_1,0.476,0.891
C1_left_lateral_mass_screw_1,0.477,0.891
C1_left_lateral_mass_screw_1,0.478,0.891
C1_left_lateral_mass_screw_1,0.479,0.891
