object_id,x,y
L1-L2_left_no_implant_interbody_fusion_1,0.48,0.37
L1-L2_left_no_implant_interbody_fusion_1,0.491,0.37
L1-L2_left_no_implant_interbody_fusion_1,0.491,0.369
L1-L2_left_no_implant_interbody_fusion_1,0.492,0.369
L1-L2_left_no_implant_interbody_fusion_1,0.493,0.369
L1-L2_left_no_implant_interbody_fusion_1,0.493,0.368
L1-L2_left_no_implant_interbody_fusion_1,0.493,0.367
L1-L2_left_no_implant_interbody_fusion_1,0.494,0.367
L1-L2_left_no_implant_interbody_fusion_1,0.494,0.352
L1-L2_left_no_implant_interbody_fusion_1,0.493,0.352
L1-L2_left_no_implant_interbody_fusion_1,0.493,0.351
L1-L2_left_no_implant_interbody_fusion_1,0.493,0.35
L1-L2_left_no_implant_interbody_fusion_1,0.492,0.35
L1-L2_left_no_implant_interbody_fusion_1,0.491,0.35
L1-L2_left_no_implant_interbody_fusion_1,0.48,0.35
L1-L2_left_no_implant_interbody_fusion_1,0.479,0.35
L1-L2_left_no_implant_interbody_fusion_1,0.478,0.35
L1-L2_left_no_implant_interbody_fusion_1,0.478,0.351
L1-L2_left_no_implant_interbody_fusion_1,0.478,0.352
L1-L2_left_no_implant_interbody_fusion_1,0.478,0.367
L1-L2_left_no_implant_interbody_fusion_1,0.478,0.368
L1-L2_left_no_implant_interbody_fusion_1,0.478,0.369
L1-L2_left_no_implant_interbody_fusion_1,0.479,0.369
L1-L2_left_no_implant_interbody_fusion_1,0.48,0.369
L1-L2_left_no_implant_interbody_fusion_1,0.48,0.37
L1-L2_left_plif_1,0.485,0.37
L1-L2_left_plif_1,0.495,0.37
L1-L2_left_plif_1,0.495,0.369
L1-L2_left_plif_1,0.496,0.369
L1-L2_left_plif_1,0.497,0.369
L1-L2_left_plif_1,0.497,0.368
L1-L2_left_plif_1,0.497,0.367
L1-L2_left_plif_1,0.498,0.367
L1-L2_left_plif_1,0.498,0.352
L1-L2_left_plif_1,0.497,0.352
L1-L2_left_plif_1,0.497,0.351
L1-L2_left_plif_1,0.497,0.35
L1-L2_left_plif_1,0.496,0.35
L1-L2_left_plif_1,0.495,0.35
L1-L2_left_plif_1,0.485,0.35
L1-L2_left_plif_1,0.484,0.35
L1-L2_left_plif_1,0.483,0.35
L1-L2_left_plif_1,0.483,0.351
L1-L2_left_plif_1,0.483,0.352
L1-L2_left_plif_1,0.482,0.352
L1-L2_left_plif_1,0.482,0.367
L1-L2_left_plif_1,0.483,0.367
L1-L2_left_plif_1,0.483,0.368
L1-L2_left_plif_1,0.483,0.369
L1-L2_left_plif_1,0.484,0.369
L1-L2_left_plif_1,0.485,0.369
L1-L2_left_plif_1,0.485,0.37
L1-L2_left_tlif_1,0.48,0.37
