object_id,x,y
C2_central_grade_2_1,0.474,0.865
C2_central_grade_2_1,0.491,0.855
C2_central_grade_2_1,0.509,0.855
C2_central_grade_2_1,0.526,0.865
C2_central_grade_2_1,0.527,0.865
C2_central_grade_2_1,0.528,0.865
C2_central_grade_2_1,0.528,0.864
C2_central_grade_2_1,0.529,0.864
C2_central_grade_2_1,0.529,0.863
C2_central_grade_2_1,0.529,0.853
C2_central_grade_2_1,0.529,0.852
C2_central_grade_2_1,0.528,0.852
C2_central_grade_2_1,0.528,0.851
C2_central_grade_2_1,0.527,0.851
C2_central_grade_2_1,0.473,0.851
C2_central_grade_2_1,0.472,0.851
C2_central_grade_2_1,0.472,0.852
C2_central_grade_2_1,0.471,0.852
C2_central_grade_2_1,0.471,0.853
C2_central_grade_2_1,0.471,0.863
C2_central_grade_2_1,0.471,0.864
C2_central_grade_2_1,0.472,0.864
C2_central_grade_2_1,0.472,0.865
C2_central_grade_2_1,0.473,0.865
C2_central_grade_2_1,0.474,0.865
C2_central_grade_3_1,0.47,0.86
C2_central_grade_3_1,0.465,0.86
C2_central_grade_3_1,0.464,0.86
C2_central_grade_3_1,0.463,0.86
C2_central_grade_3_1,0.463,0.861
C2_central_grade_3_1,0.462,0.861
C2_central_grade_3_1,0.461,0.861
C2_central_grade_3_1,0.461,0.862
C2_central_grade_3_1,0.461,0.863
C2_central_grade_3_1,0.46,0.863
C2_central_grade_3_1,0.46,0.864
C2_central_grade_3_1,0.46,0.865
C2_central_grade_3_1,0.46,0.874
C2_central_grade_3_1,0.46,0.875
C2_central_grade_3_1,0.46,0.876
C2_central_grade_3_1,0.461,0.876
C2_central_grade_3_1,0.461,0.877
C2_central_grade_3_1,0.461,0.878
C2_central_grade_3_1,0.462,0.878
C2_central_grade_3_1,0.463,0.878
C2_central_grade_3_1,0.463,0.879
C2_central_grade_3_1,0.464,0.879
C2_central_grade_3_1,0.465,0.879
C2_central_grade_3_1,0.47,0.879
C2_central_grade_3_1,0.47,0.888
C2_central_grade_3_1,0.47,0.889
C2_central_grade_3_1,0.47,0.89
C2_central_grade_3_1,0.471,0.89
C2_central_grade_3_1,0.471,0.891
C2_central_grade_3_1,0.471,0.892
C2_central_grade_3_1,0.472,0.892
C2_central_grade_3_1,0.473,0.892
C2_central_grade_3_1,0.473,0.893
C2_central_grade_3_1,0.474,0.893
C2_central_grade_3_1,0.475,0.893
C2_central_grade_3_1,0.525,0.893
C2_central_grade_3_1,0.526,0.893
C2_central_grade_3_1,0.527,0.893
C2_central_grade_3_1,0.527,0.892
C2_central_grade_3_1,0.528,0.892
C2_central_grade_3_1,0.529,0.892
C2_central_grade_3_1,0.529,0.891
C2_central_grade_3_1,0.529,0.89
C2_central_grade_3_1,0.53,0.89
C2_central_grade_3_1,0.53,0.889
C2_central_grade_3_1,0.53,0.888
C2_central_grade_3_1,0.53,0.879
C2_central_grade_3_1,0.535,0.879
C2_central_grade_3_1,0.536,0.879
C2_central_grade_3_1,0.537,0.879
C2_central_grade_3_1,0.537,0.878
C2_central_grade_3_1,0.538,0.878
C2_central_grade_3_1,0.539,0.878
C2_central_grade_3_1,0.539,0.877
C2_central_grade_3_1,0.539,0.876
C2_central_grade_3_1,0.54,0.876
C2_central_grade_3_1,0.54,0.875
C2_central_grade_3_1,0.54,0.874
C2_central_grade_3_1,0.54,0.865
C2_central_grade_3_1,0.54,0.864
C2_central_grade_3_1,0.54,0.863
C2_central_grade_3_1,0.539,0.863
C2_central_grade_3_1,0.539,0.862
C2_central_grade_3_1,0.539,0.861
C2_central_grade_3_1,0.538,0.861
C2_central_grade_3_1,0.537,0.861
C2_central_grade_3_1,0.537,0.86
C2_central_grade_3_1,0.536,0.86
C2_central_grade_3_1,0.535,0.86
C2_central_grade_3_1,0.53,0.86
C2_central_grade_3_1,0.529,0.86
C2_central_grade_3_1,0.529,0.859
C2_central_grade_3_1,0.529,0.858
C2_central_grade_3_1,0.528,0.858
C2_central_grade_3_1,0.527,0.858
C2_central_grade_3_1,0.527,0.857
C2_central_grade_3_1,0.526,0.857
C2_central_grade_3_1,0.525,0.857
C2_central_grade_3_1,0.475,0.857
C2_central_grade_3_1,0.474,0.857
C2_central_grade_3_1,0.473,0.857
C2_central_grade_3_1,0.473,0.858
C2_central_grade_3_1,0.472,0.858
C2_central_grade_3_1,0.471,0.858
C2_central_grade_3_1,0.471,0.859
C2_central_grade_3_1,0.471,0.86
C2_central_grade_3_1,0.47,0.86
C2_central_grade_4_1,0.47,0.86
C2_central_grade_4_1,0.465,0.86
C2_central_grade_4_1,0.464,0.86
C2_central_grade_4_1,0.463,0.86
C2_central_grade_4_1,0.463,0.861
C2_central_grade_4_1,0.462,0.861
C2_central_grade_4_1,0.461,0.861
C2_central_grade_4_1,0.461,0.862
C2_central_grade_4_1,0.461,0.863
C2_central_grade_4_1,0.46,0.863
C2_central_grade_4_1,0.46,0.864
C2_central_grade_4_1,0.46,0.865
C2_central_grade_4_1,0.46,0.874
C2_central_grade_4_1,0.46,0.875
C2_central_grade_4_1,0.46,0.876
C2_central_grade_4_1,0.461,0.876
C2_central_grade_4_1,0.461,0.877
C2_central_grade_4_1,0.461,0.878
C2_central_grade_4_1,0.462,0.878
C2_central_grade_4_1,0.463,0.878
C2_central_grade_4_1,0.463,0.879
C2_central_grade_4_1,0.464,0.879
C2_central_grade_4_1,0.465,0.879
C2_central_grade_4_1,0.47,0.879
C2_central_grade_4_1,0.47,0.888
C2_central_grade_4_1,0.47,0.889
C2_central_grade_4_1,0.47,0.89
C2_central_grade_4_1,0.471,0.89
C2_central_grade_4_1,0.471,0.891
C2_central_grade_4_1,0.471,0.892
C2_central_grade_4_1,0.472,0.892
C2_central_grade_4_1,0.473,0.892
C2_central_grade_4_1,0.473,0.893
C2_central_grade_4_1,0.474,0.893
C2_central_grade_4_1,0.475,0.893
C2_central_grade_4_1,0.525,0.893
C2_central_grade_4_1,0.526,0.893
C2_central_grade_4_1,0.527,0.893
C2_central_grade_4_1,0.527,0.892
C2_central_grade_4_1,0.528,0.892
C2_central_grade_4_1,0.529,0.892
C2_central_grade_4_1,0.529,0.891
C2_central_grade_4_1,0.529,0.89
C2_central_grade_4_1,0.53,0.89
C2_central_grade_4_1,0.53,0.889
C2_central_grade_4_1,0.53,0.888
C2_central_grade_4_1,0.53,0.879
C2_central_grade_4_1,0.535,0.879
C2_central_grade_4_1,0.536,0.879
C2_central_grade_4_1,0.537,0.879
C2_central_grade_4_1,0.537,0.878
C2_central_grade_4_1,0.538,0.878
C2_central_grade_4_1,0.539,0.878
C2_central_grade_4_1,0.539,0.877
C2_central_grade_4_1,0.539,0.876
C2_central_grade_4_1,0.54,0.876
C2_central_grade_4_1,0.54,0.875
C2_central_grade_4_1,0.54,0.874
C2_central_grade_4_1,0.54,0.865
C2_central_grade_4_1,0.54,0.864
C2_central_grade_4_1,0.54,0.863
C2_central_grade_4_1,0.539,0.863
C2_central_grade_4_1,0.539,0.862
C2_central_grade_4_1,0.539,0.861
C2_central_grade_4_1,0.538,0.861
C2_central_grade_4_1,0.537,0.861
C2_central_grade_4_1,0.537,0.86
C2_central_grade_4_1,0.536,0.86
C2_central_grade_4_1,0.535,0.86
C2_central_grade_4_1,0.53,0.86
C2_central_grade_4_1,0.529,0.86
C2_central_grade_4_1,0.529,0.859
C2_central_grade_4_1,0.529,0.858
C2_central_grade_4_1,0.528,0.858
C2_central_grade_4_1,0.527,0.858
C2_central_grade_4_1,0.527,0.857
C2_central_grade_4_1,0.526,0.857
C2_central_grade_4_1,0.525,0.857
C2_central_grade_4_1,0.475,0.857
C2_central_grade_4_1,0.474,0.857
C2_central_grade_4_1,0.473,0.857
C2_central_grade_4_1,0.473,0.858
C2_central_grade_4_1,0.472,0.858
C2_central_grade_4_1,0.471,0.858
C2_central_grade_4_1,0.471,0.859
C2_central_grade_4_1,0.471,0.86
C2_central_grade_4_1,0.47,0.86
C2_central_grade_5_1,0.47,0.86
C2_central_grade_5_1,0.465,0.86
C2_central_grade_5_1,0.464,0.86
C2_central_grade_5_1,0.463,0.86
C2_central_grade_5_1,0.463,0.861
C2_central_grade_5_1,0.462,0.861
C2_central_grade_5_1,0.461,0.861
C2_central_grade_5_1,0.461,0.862
C2_central_grade_5_1,0.461,0.863
C2_central_grade_5_1,0.46,0.863
C2_central_grade_5_1,0.46,0.864
