object_id,x,y
C1_central_laminectomy_for_tumor_1,0.492,0.873
C1_central_laminectomy_for_tumor_1,0.492,0.889
C1_central_laminectomy_for_tumor_1,0.492,0.89
C1_central_laminectomy_for_tumor_1,0.492,0.891
C1_central_laminectomy_for_tumor_1,0.493,0.891
C1_central_laminectomy_for_tumor_1,0.494,0.891
C1_central_laminectomy_for_tumor_1,0.506,0.891
C1_central_laminectomy_for_tumor_1,0.507,0.891
C1_central_laminectomy_for_tumor_1,0.508,0.891
C1_central_laminectomy_for_tumor_1,0.508,0.89
C1_central_laminectomy_for_tumor_1,0.508,0.889
C1_central_laminectomy_for_tumor_1,0.508,0.873
C1_central_laminectomy_for_tumor_1,0.508,0.872
C1_central_laminectomy_for_tumor_1,0.508,0.871
C1_central_laminectomy_for_tumor_1,0.507,0.871
C1_central_laminectomy_for_tumor_1,0.506,0.871
C1_central_laminectomy_for_tumor_1,0.494,0.871
C1_central_laminectomy_for_tumor_1,0.493,0.871
C1_central_laminectomy_for_tumor_1,0.492,0.871
C1_central_laminectomy_for_tumor_1,0.492,0.872
C1_central_laminectomy_for_tumor_1,0.492,0.873
C2_central_laminectomy_for_tumor_1,0.492,0.853
C2_central_laminectomy_for_tumor_1,0.492,0.873
C2_central_laminectomy_for_tumor_1,0.492,0.874
C2_central_laminectomy_for_tumor_1,0.492,0.875
C2_central_laminectomy_for_tumor_1,0.493,0.875
C2_central_laminectomy_for_tumor_1,0.494,0.875
C2_central_laminectomy_for_tumor_1,0.506,0.875
C2_central_laminectomy_for_tumor_1,0.507,0.875
C2_central_laminectomy_for_tumor_1,0.508,0.875
C2_central_laminectomy_for_tumor_1,0.508,0.874
C2_central_laminectomy_for_tumor_1,0.508,0.873
C2_central_laminectomy_for_tumor_1,0.508,0.853
C2_central_laminectomy_for_tumor_1,0.508,0.852
C2_central_laminectomy_for_tumor_1,0.508,0.851
C2_central_laminectomy_for_tumor_1,0.507,0.851
C2_central_laminectomy_for_tumor_1,0.506,0.851
C2_central_laminectomy_for_tumor_1,0.494,0.851
C2_central_laminectomy_for_tumor_1,0.493,0.851
C2_central_laminectomy_for_tumor_1,0.492,0.851
C2_central_laminectomy_for_tumor_1,0.492,0.852
C2_central_laminectomy_for_tumor_1,0.492,0.853
C2_left_corpectomy_extracavitary_tumor_1,0.489,0.863
C2_left_corpectomy_extracavitary_tumor_1,0.489,0.856
C2_left_corpectomy_extracavitary_tumor_1,0.489,0.855
C2_left_corpectomy_extracavitary_tumor_1,0.489,0.854
C2_left_corpectomy_extracavitary_tumor_1,0.488,0.853
C2_left_corpectomy_extracavitary_tumor_1,0.488,0.852
C2_left_corpectomy_extracavitary_tumor_1,0.487,0.851
C2_left_corpectomy_extracavitary_tumor_1,0.487,0.85
C2_left_corpectomy_extracavitary_tumor_1,0.486,0.85
C2_left_corpectomy_extracavitary_tumor_1,0.485,0.849
C2_left_corpectomy_extracavitary_tumor_1,0.484,0.849
C2_left_corpectomy_extracavitary_tumor_1,0.483,0.848
