level,body_interspace,vertebral_number,approach,category,implant,object,side,x,y,length,width,angle,fusion,interbody_fusion,fixation_uiv_liv,left_x,superior_y,right_x,inferior_y,superior_vert_lateral_pars_x,lateral_tp_x,lateral_pars_x,superior_vert_inferior_pedicle_y,superior_lamina_y,inferior_lamina_y,inferior_pedicle_y,body_center_y,superior_tp_y,inferior_tp_y,inferior_facet_lateral_border_x,inferior_facet_superior_border_y,inferior_facet_inferior_border_y,inferior_facet_medial_border_x,inferior_endplate_y,superior_endplate_y,superior_endplate_inferior_body_y,inferior_endplate_superior_body_y,direction
C2,body,2,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.955,,0.012,,yes,no,no,,,,,,,,,,,,,,,,,,,0.925,0.955,,,superior
C3,body,3,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.918,,0.013,,yes,no,no,,,,,,,,,,,,,,,,,,,0.897,0.918,,,superior
C4,body,4,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.888,,0.013,,yes,no,no,,,,,,,,,,,,,,,,,,,0.87,0.888,,,superior
C5,body,5,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.865,,0.014,,yes,no,no,,,,,,,,,,,,,,,,,,,0.846,0.865,,,superior
C6,body,6,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.838,,0.014,,yes,no,no,,,,,,,,,,,,,,,,,,,0.821,0.838,,,superior
C7,body,7,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.815,,0.014,,yes,no,no,,,,,,,,,,,,,,,,,,,0.795,0.815,,,superior
T1,body,8,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.79,,0.015,,yes,no,no,,,,,,,,,,,,,,,,,,,0.77,0.79,,,superior
T2,body,9,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.76,,0.015,,yes,no,no,,,,,,,,,,,,,,,,,,,0.74,0.76,,,superior
T3,body,10,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.732,,0.016,,yes,no,no,,,,,,,,,,,,,,,,,,,0.712,0.732,,,superior
T4,body,11,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.705,,0.016,,yes,no,no,,,,,,,,,,,,,,,,,,,0.682,0.705,,,superior
T5,body,12,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.675,,0.017,,yes,no,no,,,,,,,,,,,,,,,,,,,0.65,0.675,,,superior
T6,body,13,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.645,,0.017,,yes,no,no,,,,,,,,,,,,,,,,,,,0.62,0.645,,,superior
T7,body,14,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.613,,0.018,,yes,no,no,,,,,,,,,,,,,,,,,,,0.591,0.613,,,superior
T8,body,15,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.584,,0.018,,yes,no,no,,,,,,,,,,,,,,,,,,,0.56,0.584,,,superior
T9,body,16,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.555,,0.018,,yes,no,no,,,,,,,,,,,,,,,,,,,0.53,0.555,,,superior
T10,body,17,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.525,,0.019,,yes,no,no,,,,,,,,,,,,,,,,,,,0.495,0.525,,,superior
T11,body,18,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.49,,0.02,,yes,no,no,,,,,,,,,,,,,,,,,,,0.457,0.49,,,superior
T12,body,19,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.45,,0.02,,yes,no,no,,,,,,,,,,,,,,,,,,,0.415,0.45,,,superior
L1,body,20,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.406,,0.02,,yes,no,no,,,,,,,,,,,,,,,,,,,0.367,0.406,,,superior
L2,body,21,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.357,,0.021,,yes,no,no,,,,,,,,,,,,,,,,,,,0.317,0.357,,,superior
