section,diagnosis,icd_10_code,spine_region
infection,"Staphylococcal arthritis, vertebrae",M00.08,unspecified
infection,"Pneumococcal arthritis, vertebrae",M00.18,unspecified
infection,"Other streptococcal arthritis, vertebrae",M00.28,unspecified
infection,"Arthritis due to other bacteria, vertebrae",M00.88,unspecified
infection,Direct infection of vertebrae in infectious and parasitic diseases classified elsewhere,M01.X8,unspecified
msk,"Arthropathy following intestinal bypass, vertebrae",M02.08,unspecified
msk,"Postdysenteric arthropathy, vertebrae",M02.18,unspecified
msk,"Postimmunization arthropathy, vertebrae",M02.28,unspecified
msk,"Reiter's disease, vertebrae",M02.38,unspecified
msk,"Other reactive arthropathies, vertebrae",M02.88,unspecified
deformity,"Postural kyphosis, cervicothoracic region",M40.03,cervicothoracic
deformity,"Postural kyphosis, thoracic region",M40.04,thoracic
deformity,"Postural kyphosis, thoracolumbar region",M40.05,thoracolumbar
deformity,"Other secondary kyphosis, cervical region",M40.12,cervical
deformity,"Other secondary kyphosis, cervicothoracic region",M40.13,cervicothoracic
deformity,"Other secondary kyphosis, thoracic region",M40.14,thoracic
deformity,"Other secondary kyphosis, thoracolumbar region",M40.15,thoracolumbar
deformity,"Other kyphosis, cervical region",M40.292,cervical
deformity,"Other kyphosis, cervicothoracic region",M40.293,cervicothoracic
deformity,"Other kyphosis, thoracic region",M40.294,thoracic
deformity,"Other kyphosis, thoracolumbar region",M40.295,thoracolumbar
deformity,"Flatback syndrome, thoracolumbar region",M40.35,thoracolumbar
deformity,"Flatback syndrome, lumbar region",M40.36,lumbar
deformity,"Flatback syndrome, lumbosacral region",M40.37,lumbosacral
deformity,"Postural lordosis, thoracolumbar region",M40.45,thoracolumbar
deformity,"Postural lordosis, lumbar region",M40.46,lumbar
deformity,"Postural lordosis, lumbosacral region",M40.47,lumbosacral
deformity,"Infantile idiopathic scoliosis, cervical region",M41.02,cervical
deformity,"Infantile idiopathic scoliosis, cervicothoracic region",M41.03,cervicothoracic
deformity,"Infantile idiopathic scoliosis, thoracic region",M41.04,thoracic
deformity,"Infantile idiopathic scoliosis, thoracolumbar region",M41.05,thoracolumbar
deformity,"Infantile idiopathic scoliosis, lumbar region",M41.06,lumbar
deformity,"Infantile idiopathic scoliosis, lumbosacral region",M41.07,lumbosacral
deformity,"Infantile idiopathic scoliosis, sacral and sacrococcygeal region",M41.08,sacral
deformity,"Juvenile idiopathic scoliosis, cervical region",M41.112,cervical
deformity,"Juvenile idiopathic scoliosis, cervicothoracic region",M41.113,cervicothoracic
deformity,"Juvenile idiopathic scoliosis, thoracic region",M41.114,thoracic
deformity,"Juvenile idiopathic scoliosis, thoracolumbar region",M41.115,thoracolumbar
deformity,"Juvenile idiopathic scoliosis, lumbar region",M41.116,lumbar
deformity,"Juvenile idiopathic scoliosis, lumbosacral region",M41.117,lumbosacral
deformity,"Adolescent idiopathic scoliosis, cervical region",M41.122,cervical
deformity,"Adolescent idiopathic scoliosis, cervicothoracic region",M41.123,cervicothoracic
deformity,"Adolescent idiopathic scoliosis, thoracic region",M41.124,thoracic
deformity,"Adolescent idiopathic scoliosis, thoracolumbar region",M41.125,thoracolumbar
deformity,"Adolescent idiopathic scoliosis, lumbar region",M41.126,lumbar
deformity,"Adolescent idiopathic scoliosis, lumbosacral region",M41.127,lumbosacral
deformity,"Other idiopathic scoliosis, cervical region",M41.22,cervical
deformity,"Other idiopathic scoliosis, cervicothoracic region",M41.23,cervicothoracic
deformity,"Other idiopathic scoliosis, thoracic region",M41.24,thoracic
deformity,"Other idiopathic scoliosis, thoracolumbar region",M41.25,thoracolumbar
deformity,"Other idiopathic scoliosis, lumbar region",M41.26,lumbar
deformity,"Other idiopathic scoliosis, lumbosacral region",M41.27,lumbosacral
deformity,"Thoracogenic scoliosis, thoracic region",M41.34,thoracic
deformity,"Thoracogenic scoliosis, thoracolumbar region",M41.35,thoracolumbar
deformity,"Neuromuscular scoliosis, occipito-atlanto-axial region",M41.41,occipito-atlanto-axial
deformity,"Neuromuscular scoliosis, cervical region",M41.42,cervical
deformity,"Neuromuscular scoliosis, cervicothoracic region",M41.43,cervicothoracic
deformity,"Neuromuscular scoliosis, thoracic region",M41.44,thoracic
deformity,"Neuromuscular scoliosis, thoracolumbar region",M41.45,thoracolumbar
deformity,"Neuromuscular scoliosis, lumbar region",M41.46,lumbar
deformity,"Neuromuscular scoliosis, lumbosacral region",M41.47,lumbosacral
deformity,"Other secondary scoliosis, cervical region",M41.52,cervical
deformity,"Other secondary scoliosis, cervicothoracic region",M41.53,cervicothoracic
deformity,"Other secondary scoliosis, thoracic region",M41.54,thoracic
deformity,"Other secondary scoliosis, thoracolumbar region",M41.55,thoracolumbar
deformity,"Other secondary scoliosis, lumbar region",M41.56,lumbar
deformity,"Other secondary scoliosis, lumbosacral region",M41.57,lumbosacral
deformity,"Other forms of scoliosis, cervical region",M41.82,cervical
deformity,"Other forms of scoliosis, cervicothoracic region",M41.83,cervicothoracic
deformity,"Other forms of scoliosis, thoracic region",M41.84,thoracic
deformity,"Other forms of scoliosis, thoracolumbar region",M41.85,thoracolumbar
deformity,"Other forms of scoliosis, lumbar region",M41.86,lumbar
deformity,"Other forms of scoliosis, lumbosacral region",M41.87,lumbosacral
msk,"Juvenile osteochondrosis of spine, occipito-atlanto-axial region",M42.01,occipito-atlanto-axial
msk,"Juvenile osteochondrosis of spine, cervical region",M42.02,cervical
msk,"Juvenile osteochondrosis of spine, cervicothoracic region",M42.03,cervicothoracic
msk,"Juvenile osteochondrosis of spine, thoracic region",M42.04,thoracic
msk,"Juvenile osteochondrosis of spine, thoracolumbar region",M42.05,thoracolumbar
msk,"Juvenile osteochondrosis of spine, lumbar region",M42.06,lumbar
msk,"Juvenile osteochondrosis of spine, lumbosacral region",M42.07,lumbosacral
msk,"Juvenile osteochondrosis of spine, sacral and sacrococcygeal region",M42.08,sacral
msk,"Adult osteochondrosis of spine, occipito-atlanto-axial region",M42.11,occipito-atlanto-axial
msk,"Adult osteochondrosis of spine, cervical region",M42.12,cervical
msk,"Adult osteochondrosis of spine, cervicothoracic region",M42.13,cervicothoracic
msk,"Adult osteochondrosis of spine, thoracic region",M42.14,thoracic
msk,"Adult osteochondrosis of spine, thoracolumbar region",M42.15,thoracolumbar
msk,"Adult osteochondrosis of spine, lumbar region",M42.16,lumbar
msk,"Adult osteochondrosis of spine, lumbosacral region",M42.17,lumbosacral
msk,"Adult osteochondrosis of spine, sacral and sacrococcygeal region",M42.18,sacral
msk,"Spondylolysis, occipito-atlanto-axial region",M43.01,occipito-atlanto-axial
msk,"Spondylolysis, cervical region",M43.02,cervical
msk,"Spondylolysis, cervicothoracic region",M43.03,cervicothoracic
msk,"Spondylolysis, thoracic region",M43.04,thoracic
msk,"Spondylolysis, thoracolumbar region",M43.05,thoracolumbar
msk,"Spondylolysis, lumbar region",M43.06,lumbar
msk,"Spondylolysis, lumbosacral region",M43.07,lumbosacral
msk,"Spondylolysis, sacral and sacrococcygeal region",M43.08,sacral
msk,"Spondylolisthesis, occipito-atlanto-axial region",M43.11,occipito-atlanto-axial
msk,"Spondylolisthesis, cervical region",M43.12,cervical
msk,"Spondylolisthesis, cervicothoracic region",M43.13,cervicothoracic
msk,"Spondylolisthesis, thoracic region",M43.14,thoracic
msk,"Spondylolisthesis, thoracolumbar region",M43.15,thoracolumbar
msk,"Spondylolisthesis, lumbar region",M43.16,lumbar
msk,"Spondylolisthesis, lumbosacral region",M43.17,lumbosacral
msk,"Spondylolisthesis, sacral and sacrococcygeal region",M43.18,sacral
msk,"Fusion of spine, occipito-atlanto-axial region",M43.21,occipito-atlanto-axial
msk,"Fusion of spine, cervical region",M43.22,cervical
msk,"Fusion of spine, cervicothoracic region",M43.23,cervicothoracic
msk,"Fusion of spine, thoracic region",M43.24,thoracic
msk,"Fusion of spine, thoracolumbar region",M43.25,thoracolumbar
msk,"Fusion of spine, lumbar region",M43.26,lumbar
msk,"Fusion of spine, lumbosacral region",M43.27,lumbosacral
msk,"Fusion of spine, sacral and sacrococcygeal region",M43.28,sacral
msk,Recurrent atlantoaxial dislocation with myelopathy,M43.3,occipito-atlanto-axial
msk,Other recurrent atlantoaxial dislocation,M43.4,occipito-atlanto-axial
msk,"Other recurrent vertebral dislocation, cervical region",M43.5X2,cervical
msk,"Other recurrent vertebral dislocation, cervicothoracic region",M43.5X3,cervicothoracic
msk,"Other recurrent vertebral dislocation, thoracic region",M43.5X4,thoracic
msk,"Other recurrent vertebral dislocation, thoracolumbar region",M43.5X5,thoracolumbar
msk,"Other recurrent vertebral dislocation, lumbar region",M43.5X6,lumbar
msk,"Other recurrent vertebral dislocation, lumbosacral region",M43.5X7,lumbosacral
msk,"Other recurrent vertebral dislocation, sacral and sacrococcygeal region",M43.5X8,sacral
deformity,"Other specified deforming dorsopathies, occipito-atlanto-axial region",M43.8X1,occipito-atlanto-axial
deformity,"Other specified deforming dorsopathies, cervical region",M43.8X2,cervical
deformity,"Other specified deforming dorsopathies, cervicothoracic region",M43.8X3,cervicothoracic
deformity,"Other specified deforming dorsopathies, thoracic region",M43.8X4,thoracic
deformity,"Other specified deforming dorsopathies, thoracolumbar region",M43.8X5,thoracolumbar
deformity,"Other specified deforming dorsopathies, lumbar region",M43.8X6,lumbar
deformity,"Other specified deforming dorsopathies, lumbosacral region",M43.8X7,lumbosacral
deformity,"Other specified deforming dorsopathies, sacral and sacrococcygeal region",M43.8X8,sacral
msk,Ankylosing spondylitis of occipito-atlanto-axial region,M45.1,occipito-atlanto-axial
msk,Ankylosing spondylitis of cervical region,M45.2,cervical
msk,Ankylosing spondylitis of cervicothoracic region,M45.3,cervicothoracic
msk,Ankylosing spondylitis of thoracic region,M45.4,thoracic
msk,Ankylosing spondylitis of thoracolumbar region,M45.5,thoracolumbar
msk,Ankylosing spondylitis lumbar region,M45.6,lumbar
msk,Ankylosing spondylitis of lumbosacral region,M45.7,lumbosacral
msk,Ankylosing spondylitis sacral and sacrococcygeal region,M45.8,sacral
msk,Non-radiographic axial spondyloarthritis of occipito-atlanto-axial region,M45.A1,occipito-atlanto-axial
msk,Non-radiographic axial spondyloarthritis of cervical region,M45.A2,cervical
msk,Non-radiographic axial spondyloarthritis of cervicothoracic region,M45.A3,cervicothoracic
msk,Non-radiographic axial spondyloarthritis of thoracic region,M45.A4,thoracic
msk,Non-radiographic axial spondyloarthritis of thoracolumbar region,M45.A5,thoracolumbar
msk,Non-radiographic axial spondyloarthritis of lumbar region,M45.A6,lumbar
msk,Non-radiographic axial spondyloarthritis of lumbosacral region,M45.A7,lumbosacral
msk,Non-radiographic axial spondyloarthritis of sacral and sacrococcygeal region,M45.A8,sacral
msk,"Spinal enthesopathy, occipito-atlanto-axial region",M46.01,occipito-atlanto-axial
msk,"Spinal enthesopathy, cervical region",M46.02,cervical
msk,"Spinal enthesopathy, cervicothoracic region",M46.03,cervicothoracic
msk,"Spinal enthesopathy, thoracic region",M46.04,thoracic
msk,"Spinal enthesopathy, thoracolumbar region",M46.05,thoracolumbar
msk,"Spinal enthesopathy, lumbar region",M46.06,lumbar
msk,"Spinal enthesopathy, lumbosacral region",M46.07,lumbosacral
msk,"Spinal enthesopathy, sacral and sacrococcygeal region",M46.08,sacral
msk,"Sacroiliitis, not elsewhere classified",M46.1,sacral
infection,"Osteomyelitis of vertebra, occipito-atlanto-axial region",M46.21,occipito-atlanto-axial
infection,"Osteomyelitis of vertebra, cervical region",M46.22,cervical
infection,"Osteomyelitis of vertebra, cervicothoracic region",M46.23,cervicothoracic
infection,"Osteomyelitis of vertebra, thoracic region",M46.24,thoracic
infection,"Osteomyelitis of vertebra, thoracolumbar region",M46.25,thoracolumbar
infection,"Osteomyelitis of vertebra, lumbar region",M46.26,lumbar
infection,"Osteomyelitis of vertebra, lumbosacral region",M46.27,lumbosacral
infection,"Osteomyelitis of vertebra, sacral and sacrococcygeal region",M46.28,sacral
infection,"Infection of intervertebral disc (pyogenic), occipito-atlanto-axial region",M46.31,occipito-atlanto-axial
infection,"Infection of intervertebral disc (pyogenic), cervical region",M46.32,cervical
infection,"Infection of intervertebral disc (pyogenic), cervicothoracic region",M46.33,cervicothoracic
infection,"Infection of intervertebral disc (pyogenic), thoracic region",M46.34,thoracic
infection,"Infection of intervertebral disc (pyogenic), thoracolumbar region",M46.35,thoracolumbar
infection,"Infection of intervertebral disc (pyogenic), lumbar region",M46.36,lumbar
infection,"Infection of intervertebral disc (pyogenic), lumbosacral region",M46.37,lumbosacral
infection,"Infection of intervertebral disc (pyogenic), sacral and sacrococcygeal region",M46.38,sacral
infection,"Other infective spondylopathies, occipito-atlanto-axial region",M46.51,occipito-atlanto-axial
infection,"Other infective spondylopathies, cervical region",M46.52,cervical
infection,"Other infective spondylopathies, cervicothoracic region",M46.53,cervicothoracic
infection,"Other infective spondylopathies, thoracic region",M46.54,thoracic
infection,"Other infective spondylopathies, thoracolumbar region",M46.55,thoracolumbar
infection,"Other infective spondylopathies, lumbar region",M46.56,lumbar
infection,"Other infective spondylopathies, lumbosacral region",M46.57,lumbosacral
infection,"Other infective spondylopathies, sacral and sacrococcygeal region",M46.58,sacral
msk,"Other specified inflammatory spondylopathies, occipito-atlanto-axial region",M46.81,occipito-atlanto-axial
msk,"Other specified inflammatory spondylopathies, cervical region",M46.82,cervical
msk,"Other specified inflammatory spondylopathies, cervicothoracic region",M46.83,cervicothoracic
msk,"Other specified inflammatory spondylopathies, thoracic region",M46.84,thoracic
msk,"Other specified inflammatory spondylopathies, thoracolumbar region",M46.85,thoracolumbar
msk,"Other specified inflammatory spondylopathies, lumbar region",M46.86,lumbar
msk,"Other specified inflammatory spondylopathies, lumbosacral region",M46.87,lumbosacral
msk,"Other specified inflammatory spondylopathies, sacral and sacrococcygeal region",M46.88,sacral
msk,"Anterior spinal artery compression syndromes, occipito-atlanto-axial region",M47.011,occipito-atlanto-axial
msk,"Anterior spinal artery compression syndromes, cervical region",M47.012,cervical
msk,"Anterior spinal artery compression syndromes, cervicothoracic region",M47.013,cervicothoracic
msk,"Anterior spinal artery compression syndromes, thoracic region",M47.014,thoracic
msk,"Anterior spinal artery compression syndromes, thoracolumbar region",M47.015,thoracolumbar
msk,"Anterior spinal artery compression syndromes, lumbar region",M47.016,lumbar
msk,"Vertebral artery compression syndromes, occipito-atlanto-axial region",M47.021,occipito-atlanto-axial
msk,"Vertebral artery compression syndromes, cervical region",M47.022,cervical
msk,"Other spondylosis with myelopathy, occipito-atlanto-axial region",M47.11,occipito-atlanto-axial
msk,"Other spondylosis with myelopathy, cervical region",M47.12,cervical
msk,"Other spondylosis with myelopathy, cervicothoracic region",M47.13,cervicothoracic
msk,"Other spondylosis with myelopathy, thoracic region",M47.14,thoracic
msk,"Other spondylosis with myelopathy, thoracolumbar region",M47.15,thoracolumbar
msk,"Other spondylosis with myelopathy, lumbar region",M47.16,lumbar
msk,"Other spondylosis with radiculopathy, occipito-atlanto-axial region",M47.21,occipito-atlanto-axial
msk,"Other spondylosis with radiculopathy, cervical region",M47.22,cervical
msk,"Other spondylosis with radiculopathy, cervicothoracic region",M47.23,cervicothoracic
msk,"Other spondylosis with radiculopathy, thoracic region",M47.24,thoracic
msk,"Other spondylosis with radiculopathy, thoracolumbar region",M47.25,thoracolumbar
msk,"Other spondylosis with radiculopathy, lumbar region",M47.26,lumbar
msk,"Other spondylosis with radiculopathy, lumbosacral region",M47.27,lumbosacral
msk,"Other spondylosis with radiculopathy, sacral and sacrococcygeal region",M47.28,sacral
msk,"Spondylosis without myelopathy or radiculopathy, occipito-atlanto-axial region",M47.811,occipito-atlanto-axial
msk,"Spondylosis without myelopathy or radiculopathy, cervical region",M47.812,cervical
msk,"Spondylosis without myelopathy or radiculopathy, cervicothoracic region",M47.813,cervicothoracic
msk,"Spondylosis without myelopathy or radiculopathy, thoracic region",M47.814,thoracic
msk,"Spondylosis without myelopathy or radiculopathy, thoracolumbar region",M47.815,thoracolumbar
msk,"Spondylosis without myelopathy or radiculopathy, lumbar region",M47.816,lumbar
msk,"Spondylosis without myelopathy or radiculopathy, lumbosacral region",M47.817,lumbosacral
msk,"Spondylosis without myelopathy or radiculopathy, sacral and sacrococcygeal region",M47.818,sacral
msk,"Other spondylosis, occipito-atlanto-axial region",M47.891,occipito-atlanto-axial
msk,"Other spondylosis, cervical region",M47.892,cervical
msk,"Other spondylosis, cervicothoracic region",M47.893,cervicothoracic
msk,"Other spondylosis, thoracic region",M47.894,thoracic
msk,"Other spondylosis, thoracolumbar region",M47.895,thoracolumbar
msk,"Other spondylosis, lumbar region",M47.896,lumbar
msk,"Other spondylosis, lumbosacral region",M47.897,lumbosacral
msk,"Other spondylosis, sacral and sacrococcygeal region",M47.898,sacral
msk,"Spinal stenosis, occipito-atlanto-axial region",M48.01,occipito-atlanto-axial
msk,"Spinal stenosis, cervical region",M48.02,cervical
msk,"Spinal stenosis, cervicothoracic region",M48.03,cervicothoracic
msk,"Spinal stenosis, thoracic region",M48.04,thoracic
msk,"Spinal stenosis, thoracolumbar region",M48.05,thoracolumbar
msk,"Spinal stenosis, lumbar region without neurogenic claudication",M48.061,lumbar
msk,"Spinal stenosis, lumbar region with neurogenic claudication",M48.062,lumbar
msk,"Spinal stenosis, lumbosacral region",M48.07,lumbosacral
msk,"Spinal stenosis, sacral and sacrococcygeal region",M48.08,sacral
msk,"Ankylosing hyperostosis [Forestier], occipito-atlanto-axial region",M48.11,occipito-atlanto-axial
msk,"Ankylosing hyperostosis [Forestier], cervical region",M48.12,cervical
msk,"Ankylosing hyperostosis [Forestier], cervicothoracic region",M48.13,cervicothoracic
msk,"Ankylosing hyperostosis [Forestier], thoracic region",M48.14,thoracic
msk,"Ankylosing hyperostosis [Forestier], thoracolumbar region",M48.15,thoracolumbar
msk,"Ankylosing hyperostosis [Forestier], lumbar region",M48.16,lumbar
msk,"Ankylosing hyperostosis [Forestier], lumbosacral region",M48.17,lumbosacral
msk,"Ankylosing hyperostosis [Forestier], sacral and sacrococcygeal region",M48.18,sacral
deformity,"Kissing spine, occipito-atlanto-axial region",M48.21,occipito-atlanto-axial
deformity,"Kissing spine, cervical region",M48.22,cervical
deformity,"Kissing spine, cervicothoracic region",M48.23,cervicothoracic
deformity,"Kissing spine, thoracic region",M48.24,thoracic
deformity,"Kissing spine, thoracolumbar region",M48.25,thoracolumbar
deformity,"Kissing spine, lumbar region",M48.26,lumbar
deformity,"Kissing spine, lumbosacral region",M48.27,lumbosacral
trauma,"Traumatic spondylopathy, occipito-atlanto-axial region",M48.31,occipito-atlanto-axial
trauma,"Traumatic spondylopathy, cervical region",M48.32,cervical
trauma,"Traumatic spondylopathy, cervicothoracic region",M48.33,cervicothoracic
trauma,"Traumatic spondylopathy, thoracic region",M48.34,thoracic
trauma,"Traumatic spondylopathy, thoracolumbar region",M48.35,thoracolumbar
trauma,"Traumatic spondylopathy, lumbar region",M48.36,lumbar
trauma,"Traumatic spondylopathy, lumbosacral region",M48.37,lumbosacral
trauma,"Traumatic spondylopathy, sacral and sacrococcygeal region",M48.38,sacral
trauma,"Fatigue fracture of vertebra, occipito-atlanto-axial region, initial encounter for fracture",M48.41XA,occipito-atlanto-axial
trauma,"Fatigue fracture of vertebra, cervical region, initial encounter for fracture",M48.42XA,cervical
trauma,"Fatigue fracture of vertebra, cervicothoracic region, initial encounter for fracture",M48.43XA,cervicothoracic
trauma,"Fatigue fracture of vertebra, thoracic region, initial encounter for fracture",M48.44XA,thoracic
trauma,"Fatigue fracture of vertebra, thoracolumbar region, initial encounter for fracture",M48.45XA,thoracolumbar
